Product Name,Seller,Main Category,Sub Category,Category,Price,Sold,Rating,Total Rating,Link
"iPhone 13 Garansi Resmi - 128GB, Biru",PT Pratama Sntra Semesta,Handphone & Tablet,Handphone,iOS,Rp13.449.000,Terjual 1 rb+,5,645 rating,https://www.tokopedia.com/ptpratamasemesta/iphone-13-garansi-resmi-128gb-biru?extParam=ivf%3Dfalse&src=topads
BUKU KIMIA Principles of inorganic chemistry,BUKUREFERNSIKIMIA,Buku,Teknik & Sains,Buku Kimia,Rp177.600,Terjual 0,No Ratings,0 rating,https://www.tokopedia.com/bacaana/buku-kimia-principles-of-inorganic-chemistry?extParam=ivf%3Dfalse&src=topads
